iso3,year,protected_pct
TTO,2015,2.0
TUN,2015,3.7
TUR,2015,0.2
TUV,2015,0.0
TZA,2015,26.0
UGA,2015,16.1
UKR,2015,3.9
UMC,2015,10.469102641018
URY,2015,1.7
USA,2015,20.1
UZB,2015,3.4
VCT,2015,0.5
VEN,2015,36.9
VGB,2015,0.1
VIR,2015,1.0
VNM,2015,2.9
VUT,2015,0.1
WLD,2015,12.1493661831455
WSM,2015,0.2
YEM,2015,0.6
ZAF,2015,11.7
ZMB,2015,38.0
ZWE,2015,26.7
ABW,2016,0.527983104540655
AFG,2016,0.104707040342723
AGO,2016,5.00471334206571
ALB,2016,13.1477494617734
AND,2016,21.1909302818394
ARE,2016,9.23566752233697
ARG,2016,7.52859334896618
ARM,2016,23.1090030789546
ASM,2016,8.70852175263238
ATG,2016,0.271690243750207
AUS,2016,28.5918417236676
AUT,2016,28.4439825865815
AZE,2016,5.51874580872895
BDI,2016,7.59254563428626
BEL,2016,24.5781622457406
BEN,2016,28.8719449693959
BFA,2016,15.084819776291
BGD,2016,4.88867647961894
BGR,2016,28.2871319536603
BHR,2016,1.69477264805221
BHS,2016,1.24025812422249
BIH,2016,1.45241014188329
BLR,2016,9.51125836698787
BLZ,2016,20.5917919778095
BMU,2016,0.0338708242033383
BOL,2016,30.8655154573011
BRA,2016,20.7372842292403
BRB,2016,0.0091662043125373
BRN,2016,8.98923250400346
BTN,2016,48.0073121564601
BWA,2016,29.1432918377963
CAF,2016,18.0648063941797
CAN,2016,6.47711948156826
CHE,2016,9.65051637879546
CHL,2016,13.5939050071834
CHN,2016,15.9392803086493
CIV,2016,14.8914750759545
CMR,2016,10.3820772995156
COD,2016,12.6343110542534
COG,2016,36.7093039291158
COL,2016,9.44644364805646
COM,2016,0.126191492899187
CPV,2016,2.60303687635575
CRI,2016,3.03546193741007
CUB,2016,7.18434684613918
CUW,2016,0.258181114051507
CYM,2016,0.103424001708164
CYP,2016,1.68711670729969
CZE,2016,21.6859243630073
DEU,2016,38.7268950286066
DJI,2016,1.32295288625376
DMA,2016,0.586134695785929
DNK,2016,17.7570683242766
DOM,2016,11.2019393392716
DZA,2016,7.10549985987089
ECU,2016,14.3964327518509
EGY,2016,11.551153494537
ERI,2016,4.8721871655296
ESP,2016,15.1956326397025
EST,2016,19.4868332703463
ETH,2016,18.4749520269516
FIN,2016,14.2109185358442
FJI,2016,0.989795911368608
FRA,2016,26.0807183526812
FRO,2016,0.0234924730862025
FSM,2016,0.0187205363154838
GAB,2016,12.0754505026703
GBR,2016,22.2620645199521
GEO,2016,6.44104820465337
GHA,2016,7.79423860912041
GIB,2016,13.1275909719024
GIN,2016,21.3673260076547
GMB,2016,1.36702543622438
GNB,2016,11.6202197089003
GNQ,2016,1.76532601049951
GRC,2016,8.56334528515359
GRD,2016,0.172574854343071
GRL,2016,22.3599788850636
GTM,2016,15.7067397650122
GUM,2016,0.0694251938612372
GUY,2016,5.30607683828947
HKG,2016,41.9047619047619
HND,2016,12.4289336910491
HRV,2016,23.5064099082696
HTI,2016,0.270169622711773
HUN,2016,22.6019271546287
IDN,2016,5.06335901930066
IMN,2016,4.29405702507729
IND,2016,3.47930598498439
IRL,2016,4.04293371670989
IRN,2016,7.66655342395126
IRQ,2016,1.54077890873295
ISL,2016,2.42174669591443
ISR,2016,8.58173027677053
ITA,2016,13.3464442429884
JAM,2016,1.40556650931052
JOR,2016,1.76535777731989
JPN,2016,2.09183621347664
KAZ,2016,3.18942507887438
KEN,2016,10.5050213796236
