iso3,year,rent_pct_gdp
NZL,2014,1.42914435215029
OED,2014,0.883041642680325
OMN,2014,34.348523798708
OSS,2014,7.56641459626964
PAK,2014,1.9953468853851
PAN,2014,0.231601530644453
PER,2014,5.66292821656372
PHL,2014,1.5089650931856
PLW,2014,0.0
PNG,2014,14.02772535223
POL,2014,3.15767703778128
PRE,2014,16.0438884306374
PRI,2014,0.0
PRT,2014,0.204731493524196
PRY,2014,1.68579710915118
PSE,2014,0.0
PSS,2014,3.71469381945029
PST,2014,0.68175645228363
PYF,2014,0.0053573127180095
QAT,2014,27.6978144663127
ROU,2014,1.51017281377838
RUS,2014,12.4271978897589
RWA,2014,6.4521550362679
SAS,2014,2.48826820612039
SAU,2014,41.3384300115975
SDN,2014,5.17423775201674
SEN,2014,3.1569476524477
SGP,2014,0.104879469325881
SLB,2014,20.6416871336495
SLE,2014,8.02771244072182
SLV,2014,1.0550593254644
SMR,2014,0.0
SOM,2014,18.2921917574279
SRB,2014,1.89442302636645
SSA,2014,9.50262956467615
SSD,2014,28.4570049428564
SSF,2014,9.49568160079387
SST,2014,6.75608498559904
STP,2014,3.04723492306762
SUR,2014,13.3454910423686
SVK,2014,0.288569282906269
SVN,2014,0.264570914876485
SWE,2014,0.908726777199877
SWZ,2014,3.43977917921013
SXM,2014,0.0
SYC,2014,0.122451367247677
SYR,2014,5.74137102637288
TCA,2014,0.005970285101066
TCD,2014,15.6882203824047
TEA,2014,2.78064694532506
TEC,2014,7.79599124137458
TGO,2014,13.3950715961836
THA,2014,2.8228271736769
TJK,2014,2.19331996280515
TKM,2014,20.1759840166561
TLA,2014,4.78097716044916
TMN,2014,20.6034411094778
TON,2014,0.0521558048423682
TSA,2014,2.48826820612039
TSS,2014,9.49568160079387
TTO,2014,15.5987828212435
TUN,2014,4.59413759866907
TUR,2014,0.515494221044849
TUV,2014,0.0
TZA,2014,5.04690559304949
UGA,2014,10.3312319703494
UKR,2014,3.6083209332499
UMC,2014,4.57400731868839
URY,2014,1.45872376049256
USA,2014,0.703153661885122
UZB,2014,10.3618681106859
VCT,2014,0.0423946065801886
VEN,2014,11.8465082797294
VIR,2014,0.85274473054265
VNM,2014,5.66094916066902
VUT,2014,0.987395102309584
