"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bolivia","BOL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","25.3","30.9","30.8655154573011","30.9","30.8654914952935","30.9","30.9","30.9","30.9","30.9","30.9",
"Brazil","BRA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9","20.4","20.4","20.7372842292403","20.7","28.5782526119273","29.2","29.2","29.3","29.3","29.5","29.4",
"Barbados","BRB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.00916620431253737","0","0.00887361505544849","0","0","0","0","0","0.1",
"Brunei Darussalam","BRN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","8.98923250400346","9","8.98950185960816","9","9","9","9","9","7.5",
"Bhutan","BTN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8","48","48","48.0073121564601","48","48.0078510451912","48","49.7","49.7","49.7","49.7","51.6",
"Botswana","BWA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1","29.1","29.1","29.1432918377963","29.1","29.1432374214094","29.1","29.1","29.1","29.1","29.1","29.1",
"Central African Republic","CAF","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1","18.1","18.1","18.0648063941797","18.1","18.0648242198926","18.1","18.1","18.1","18.1","18.1","14.8",
"Canada","CAN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","6.3","6.2","6.47711948156826","6.5","6.47719362274678","8.1","9.5","10.8","11.4","11.5","11.6",
"Central Europe and the Baltics","CEB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9092505269521","25.4245551819273","25.6046487946093","","27.7509304514696","","28.2834257185072","28.1277292850983","28.1352711737238","28.1352711737238","28.1352711737238","28.5226315956778",
"Switzerland","CHE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8","9.7","9.7","9.65051637879546","9.7","9.66518426119507","10","12","12.1","12.1","12.1","12.5",
