iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
IDN,29.3,1.9534582448485742,39.3,1.91804003405001,-0.03541821079856433,1.8131030387757194
IDN,29.3,1.9534582448485744,49.3,1.9059986812053669,-0.04745956364320758,2.4295151313503753
IDN,29.3,1.953458244848574,59.3,1.9059986812053666,-0.04745956364320736,2.4295151313503642
IDN,29.3,1.9534582448485744,79.3,1.9047715542520331,-0.04868669059654129,2.49233331323728
IND,33.9,1.565916740151865,43.9,1.5471196401029372,-0.018797100048927762,1.200389494980735
IND,33.9,1.5659167401518652,53.9,1.5426670828416038,-0.023249657310261407,1.4847313853996231
IND,33.9,1.5659167401518648,63.9,1.5424573791539842,-0.023459360997880596,1.4981231374795492
IND,33.9,1.5659167401518648,83.9,1.5424573791539844,-0.023459360997880374,1.498123137479535
IRL,8.8,7.826800988926078,18.8,7.7988125842684575,-0.02798840465762087,0.3575969888236698
IRL,8.8,7.8268009889260775,28.8,7.787911041548459,-0.038889947377618306,0.4968817711430584
IRL,8.8,7.8268009889260775,38.8,7.78074351028785,-0.04605747863822707,0.5884585375735567
IRL,8.8,7.826800988926078,58.8,7.78074351028785,-0.046057478638227956,0.588458537573568
IRN,0.9,7.8074149959669334,10.9,7.717895519940503,-0.08951947602643084,1.1465955898677578
IRN,0.9,7.807414995966932,20.9,7.691632692828598,-0.11578230313833338,1.4829787221268873
IRN,0.9,7.8074149959669334,30.9,7.66504683726185,-0.14236815870508313,1.8234993115983467
IRN,0.9,7.807414995966932,50.9,7.651778332961851,-0.1556366630050805,1.9934467821356696
IRQ,1.0,3.9809943848193825,11.0,3.8878715358459703,-0.09312284897341216,2.339185639862116
IRQ,1.0,3.9809943848193834,21.0,3.8693343382319867,-0.1116600465873967,2.8048280352563895
IRQ,1.0,3.9809943848193825,31.0,3.8290853029374627,-0.15190908188191976,3.815857727938289
IRQ,1.0,3.980994384819383,51.0,3.829085302937463,-0.15190908188191976,3.8158577279382886
ISR,3.7,8.376251923847944,13.7,8.337048896516116,-0.03920302733182801,0.468025886616584
ISR,3.7,8.376251923847944,23.7,8.314854326357786,-0.06139759749015816,0.7329960708960254
ISR,3.7,8.376251923847946,33.7,8.292621152197183,-0.08363077165076227,0.9984271295931049
ISR,3.7,8.376251923847944,53.7,8.29262115219718,-0.08363077165076405,0.9984271295931263
ITA,17.1,6.051854349488166,27.1,6.025566035804378,-0.026288313683788367,0.43438444096083867
ITA,17.1,6.051854349488166,37.1,6.014732620928187,-0.03712172855997942,0.6133942824172393
ITA,17.1,6.051854349488165,47.1,6.0147326209281875,-0.03712172855997764,0.61339428241721
ITA,17.1,6.051854349488166,67.1,6.014732620928186,-0.037121728559980305,0.6133942824172539
JAM,11.9,2.8043209728161202,21.9,2.795879963929454,-0.008441008886666435,0.3010000983656985
JAM,11.9,2.8043209728161216,31.9,2.7633041910054077,-0.04101678181071389,1.462627930551206
JAM,11.9,2.8043209728161207,41.9,2.7633041910054073,-0.04101678181071344,1.4626279305511907
JAM,11.9,2.8043209728161216,61.9,2.7633041910054073,-0.04101678181071433,1.4626279305512218
JOR,3.1,2.8616487523001464,13.1,2.8196585674315116,-0.04199018486863482,1.4673423785810118
JOR,3.1,2.8616487523001455,23.1,2.8017492755001223,-0.059899476800023166,2.0931806096704553
JOR,3.1,2.861648752300146,33.1,2.7653491111529322,-0.09629964114721368,3.3651803377269704
JOR,3.1,2.861648752300146,53.1,2.755128879672933,-0.10651987262721274,3.7223251994708932
JPN,5.6,9.983378251306931,15.6,9.938585127441927,-0.04479312386500389,0.44867701831431656
JPN,5.6,9.983378251306933,25.6,9.914645087861928,-0.06873316344500502,0.6884760019586266
JPN,5.6,9.983378251306927,35.6,9.899579444961926,-0.08379880634500125,0.8393832652191769
JPN,5.6,9.983378251306926,55.6,9.899579444961923,-0.08379880634500303,0.8393832652191948
KAZ,1.3,14.081513342996248,11.3,14.018249734450928,-0.06326360854531998,0.44926711358609434
KAZ,1.3,14.081513342996246,21.3,14.018249734450928,-0.0632636085453182,0.44926711358608173
KAZ,1.3,14.081513342996246,31.3,13.967179235819026,-0.11433410717721948,0.8119447419625966
KAZ,1.3,14.08151334299625,51.3,13.946663521536967,-0.13484982145928193,0.9576372807000353
KEN,71.8,0.3982066290807471,81.8,0.39778274773141375,-0.00042388134933335486,0.1064475873522943
KEN,71.8,0.39820662908074705,91.8,0.39778274773141387,-0.00042388134933318833,0.1064475873522525
KEN,71.8,0.3982066290807471,101.8,0.39778274773141375,-0.00042388134933335486,0.1064475873522943
KEN,71.8,0.3982066290807471,121.8,0.39778274773141375,-0.00042388134933335486,0.1064475873522943
KGZ,26.6,1.5078289621040688,36.6,1.4947766962026012,-0.013052265901467575,0.8656330545113061
KGZ,26.6,1.5078289621040692,46.6,1.4926317313235535,-0.015197230780515714,1.0078882394796984
KGZ,26.6,1.5078289621040695,56.6,1.49213121628022,-0.01569774582384942,1.0410826571433087
KGZ,26.6,1.5078289621040695,76.6,1.489914363432395,-0.017914598671674442,1.1881054895427845
KHM,63.7,0.4553801870299842,73.7,0.4534122583549509,-0.001967928675033259,0.43215070200313355
KHM,63.7,0.4553801870299841,83.7,0.45295577913495094,-0.002424407895033176,0.5323920460495447
KHM,63.7,0.4553801870299842,93.7,0.45295577913495094,-0.0024244078950332315,0.5323920460495569
KHM,63.7,0.4553801870299841,113.7,0.45295577913495094,-0.002424407895033176,0.5323920460495447
KIR,48.0,2.237613187992027,58.0,2.236753567597859,-0.0008596203941677594,0.03841684518042903
KIR,48.0,2.2376131879920265,68.0,2.234646036102812,-0.002967151889214481,0.132603432315177
KIR,48.0,2.237613187992026,78.0,2.2341398945294784,-0.0034732934625476553,0.1552231404957215
KIR,48.0,2.2376131879920265,98.0,2.2336834153094784,-0.003929772682548016,0.1756234144327013
KOR,2.9,11.719420063723273,12.9,11.68648325225161,-0.03293681147166261,0.28104472143307185
KOR,2.9,11.719420063723275,22.9,11.675942935551605,-0.04347712817166993,0.37098361467774876
KOR,2.9,11.719420063723277,32.9,11.660877292651605,-0.058542771071671496,0.49953641693318035
KOR,2.9,11.719420063723273,52.9,11.660877292651609,-0.05854277107166439,0.4995364169331199
KWT,0.0,23.05861114319443,10.0,22.43675900874414,-0.6218521344502896,2.696832565450606
KWT,0.0,23.058611143194426,20.0,22.436759008744147,-0.621852134450279,2.69683256545056
KWT,0.0,23.058611143194437,30.0,22.436759008744147,-0.6218521344502896,2.696832565450605
KWT,0.0,23.058611143194433,50.0,22.41221350487748,-0.6463976383169516,2.803280884103598
LAO,58.2,0.6608838947380655,68.2,0.655222000278621,-0.005661894459444539,0.8567154540342631
LAO,58.2,0.6608838947380653,78.2,0.6547158587052877,-0.006168036032777602,0.933301005197326
LAO,58.2,0.6608838947380654,88.2,0.6547158587052876,-0.006168036032777824,0.9333010051973595
LAO,58.2,0.6608838947380654,108.2,0.6547158587052878,-0.006168036032777602,0.933301005197326
LBN,4.2,4.263841796257544,14.2,4.176180441109115,-0.08766135514842865,2.0559241955311456
LBN,4.2,4.263841796257545,24.2,4.1784283130443525,-0.08541348321319209,2.0032047926393783
LBN,4.2,4.263841796257545,34.2,4.154501712714936,-0.10934008354260882,2.5643560143009694
LBN,4.2,4.263841796257544,54.2,4.147280030886365,-0.1165617653711788,2.7337263186801937
LBR,91.2,0.16399094600747416,101.2,0.1639909460074742,2.7755575615628914e-17,1.692506585965051e-14
