feature,importance,importance_pct
d_grazing_land_EFImportsTotGHA,0.004340118724049527,0.43401187240495276
Percapita GDP (2010 USD)_BiocapTotGHA,0.004335344357324743,0.4335344357324743
Percapita GDP (2010 USD)_EFExportsTotGHA_lag1,0.004237824432164568,0.4237824432164568
grazing_land_EFImportsPerCap_lag1,0.004225555618313714,0.42255556183137144
population_EFProdPerCap_lag1,0.00422401307587921,0.42240130758792094
Percapita GDP (2010 USD)_EFConsTotGHA,0.0041103591902936654,0.41103591902936654
grazing_land_BiocapTotGHA,0.004083329226345648,0.40833292263456483
Percapita GDP (2010 USD)_BiocapPerCap_lag1,0.004043488782623518,0.4043488782623518
d_forest_land_BiocapTotGHA,0.003972364492171293,0.3972364492171293
carbon_EFExportsTotGHA_lag1,0.00391400188654914,0.391400188654914
